INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../mm_mult_test.cc in release mode
   Compiling ../../../../mm_mult.cc in release mode
   Generating csim.exe
-9818, -9818, 0, 0
-21646, -21646, 0, 1
-15467, -15467, 0, 2
-14798, -14798, 0, 3
4566, 4566, 0, 4
6559, 6559, 0, 5
-22225, -22225, 0, 6
-10789, -10789, 0, 7
-20748, -20748, 0, 8
-10029, -10029, 0, 9
13757, 13757, 0, 10
-14711, -14711, 0, 11
-28793, -28793, 0, 12
21240, 21240, 0, 13
21355, 21355, 0, 14
-991, -991, 1, 0
13708, 13708, 1, 1
17169, 17169, 1, 2
-6577, -6577, 1, 3
-30931, -30931, 1, 4
-32645, -32645, 1, 5
-9099, -9099, 1, 6
-8022, -8022, 1, 7
-19457, -19457, 1, 8
-6979, -6979, 1, 9
-22214, -22214, 1, 10
-21982, -21982, 1, 11
213, 213, 1, 12
2517, 2517, 1, 13
29467, 29467, 1, 14
-7164, -7164, 2, 0
19620, 19620, 2, 1
10819, 10819, 2, 2
3065, 3065, 2, 3
-23547, -23547, 2, 4
15768, 15768, 2, 5
-26652, -26652, 2, 6
4996, 4996, 2, 7
13282, 13282, 2, 8
-19920, -19920, 2, 9
10991, 10991, 2, 10
23884, 23884, 2, 11
9039, 9039, 2, 12
11969, 11969, 2, 13
-28783, -28783, 2, 14
25340, 25340, 3, 0
-2051, -2051, 3, 1
12744, 12744, 3, 2
-14392, -14392, 3, 3
12873, 12873, 3, 4
-19314, -19314, 3, 5
9193, 9193, 3, 6
-16070, -16070, 3, 7
-21389, -21389, 3, 8
20417, 20417, 3, 9
2380, 2380, 3, 10
-14154, -14154, 3, 11
-11365, -11365, 3, 12
724, 724, 3, 13
-9047, -9047, 3, 14
-241, -241, 4, 0
-4768, -4768, 4, 1
-18208, -18208, 4, 2
11788, 11788, 4, 3
-278, -278, 4, 4
15136, 15136, 4, 5
10339, 10339, 4, 6
-19915, -19915, 4, 7
9624, 9624, 4, 8
26491, 26491, 4, 9
-485, -485, 4, 10
-25978, -25978, 4, 11
-18270, -18270, 4, 12
3000, 3000, 4, 13
8463, 8463, 4, 14
Test successful
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
